"","desc","rooms","bedr","size","link","thumb","furnished","type","price","price_per_sqm","location","floor","ascenseur","cave","refait","haussmanien","balcon","date"
"1","Vente appartement 3 pièces 77 m² Paris	850.000 €	03 novembre 2014	à partir de 2.639 € / mois*	10	Paris 12e (75012), Aligre - Gare de Lyon.	Appartement de 77 m² entièrement rénové par architecte esprit loft au 3e étage ascenseur dans immeuble ancien rénové haut de gamme et récemment ravalé avec parties communes refaites. Rue calme proche Faubourg...	Faidherbe - Chaligny, Ledru-Rollin, Reuilly - Diderot	Pièces	3	Chambres	2	Surface	77 m2	Détails","3","2",77,"http://www.pap.fr/annonce/vente-appartements-paris-75-g439-40-annonces-par-page-r402902096","http://static.pap.fr/photos/A29/A29A2096.thumb.jpg",FALSE,"appartement",850,11.038961038961,"12","3",TRUE,FALSE,TRUE,FALSE,FALSE,2014-11-03
"2","Vente appartement 4 pièces 68 m² Paris	615.000 €	Appartement de 4 pièces - métro Goncourt	02 novembre 2014	à partir de 1.909 € / mois*	8	Paris 10e (75010), Faubourg du Temple - Hôpital Saint-Louis.	Paris 10e Appartement traversant, 4 pièces de 69 m² (68,30 m² Carrez) au 3e étage (sur 6), dans un immeuble pierre de taille. Salon et salle à manger sur rue, exposition sud, 2 chambres sur cour,...	Goncourt (Hôpital-Saint-Louis), Belleville, République	Pièces	4	Chambres	2	Surface	68 m2	Détails","4","2",68,"http://www.pap.fr/annonce/vente-appartements-paris-75-g439-40-annonces-par-page-r403001814","http://upload.pap.fr/photos/A30/NDCBHMDMJK5WMAB.jpg",FALSE,"appartement",615,9.04411764705882,"10","3",FALSE,FALSE,FALSE,FALSE,FALSE,2014-11-02
"3","Vente appartement 5 pièces 125 m² Paris	1.580.000 €	02 novembre 2014	à partir de 4.905 € / mois*	10	Paris 5e (75005), Sorbonne.	Saint Michel Odéon. Appartement d'angle lumineux, 125 m², 4 chambres (possibilité 5), 2 bains. Excellent emplacement : proximité Saint Michel, Seine, Odéon, Jardin du Luxembourg, Sorbonne. 3e étage, ascenseur.	Cluny - La Sorbonne, Saint-Michel - Notre-Dame, Saint-Michel	Pièces	5	Chambres	4	Surface	125 m2	Détails","5","4",125,"http://www.pap.fr/annonce/vente-appartements-paris-75-g439-40-annonces-par-page-r194010254","http://static.pap.fr/photos/940/940AA254.thumb.jpg",FALSE,"appartement",1580,12.64,"5","3",TRUE,FALSE,FALSE,FALSE,FALSE,2014-11-02
"4","Vente appartement 2 pièces 52 m² Paris	355.000 €	02 novembre 2014	à partir de 1.102 € / mois*	4	Paris 14e (75014).	2 pièces de 52 m² spacieux, calme et lumineux, en étage élevé (ascenseurs) dans un immeuble 1969. Toutes les pièces à vivre bénéficient d'une belle vue sans vis-à-vis et d'une forte luminosité. L'appartement...	Pièces	2	Chambre	1	Surface	52 m2	Détails","2","1",52,"http://www.pap.fr/annonce/vente-appartements-paris-75-g439-40-annonces-par-page-r400702117","http://static.pap.fr/photos/A07/A07A2117.thumb.jpg",FALSE,"appartement",355,6.82692307692308,"14",NA,TRUE,FALSE,FALSE,FALSE,FALSE,2014-11-02
"5","Vente appartement 3 pièces 58 m² Paris	510.000 €	02 novembre 2014	à partir de 1.583 € / mois*	10	Paris 17e (75017).	Très bel appartement esprit maison, en plein coeur du quartier très prisé des Batignolles. Surface totale de 67 m² environ (58 m² Loi Carrez, 3,60m2 espace habitable+6m2 de cave). Situé derrière la mairie du...	Pièces	3	Chambre	1	Surface	58 m2	Détails","3","1",58,"http://www.pap.fr/annonce/vente-appartements-paris-75-g439-40-annonces-par-page-r401402488","http://static.pap.fr/photos/A14/A14A2488.thumb.jpg",FALSE,"appartement",510,8.79310344827586,"17",NA,FALSE,TRUE,FALSE,FALSE,FALSE,2014-11-02
"6","Vente appartement 2 pièces 42 m² Paris	340.000 €	02 novembre 2014	à partir de 1.055 € / mois*	7	Paris 19e (75019), Bassin de la Villette.	Particulier vend joli appartement lumineux de 2 pièces (42 m² loi carrez) avec garage fermé. Au 3e étage sans ascenseur, exposé ouest, pas de vis-à-vis, vue dégagée. Entièrement rénové en 2007. Pas de travaux à...	Riquet, Stalingrad, Jaurès	Pièces	2	Chambre	1	Surface	42 m2	Détails","2","1",42,"http://www.pap.fr/annonce/vente-appartements-paris-75-g439-40-annonces-par-page-r403001900","http://static.pap.fr/photos/A30/A30A1900.thumb.jpg",FALSE,"appartement",340,8.09523809523809,"19","3",FALSE,FALSE,TRUE,FALSE,FALSE,2014-11-02
"7","Vente appartement 3 pièces 52 m² Paris	469.000 €	02 novembre 2014	à partir de 1.456 € / mois*	9	Paris 17e (75017), Legendre - Lévis.	Entre Levis, Batignolles et Pont Cardinet. Charmant 3 pièces très lumineux de 52 m² (Carrez), dans immeuble 1900 - 4ème étage sans ascenseur - 5 fenêtres sur rue, donnant sur école maternelle. Entrée ; salle à...	Pont-Cardinet, Villiers, Malesherbes	Pièces	3	Chambre	1	Surface	52 m2	Détails","3","1",52,"http://www.pap.fr/annonce/vente-appartements-paris-75-g439-40-annonces-par-page-r402601269","http://static.pap.fr/photos/A26/A26A1269.thumb.jpg",FALSE,"appartement",469,9.01923076923077,"17","4",FALSE,FALSE,FALSE,FALSE,FALSE,2014-11-02
"8","Vente appartement 4 pièces 84 m² Paris	880.000 €	02 novembre 2014	à partir de 2.732 € / mois*	3	Paris 1er (75001).	Louvre-Saint-Honoré, proche du Palais Royal. Dans un bel immeuble ancien du 18e siècle, appartement de 84 m², situé au 3ème étage sur entresol, entièrement rénové, calme et lumineux (sur cour, double exposition...	Pièces	4	Chambre	1	Surface	84 m2	Détails","4","1",84,"http://www.pap.fr/annonce/vente-appartements-paris-75-g439-40-annonces-par-page-r402602556","http://static.pap.fr/photos/A26/A26A2556.thumb.jpg",FALSE,"appartement",880,10.4761904761905,NA,"3",FALSE,FALSE,TRUE,FALSE,FALSE,2014-11-02
"9","Vente appartement 5 pièces 152 m² Paris	1.495.000 €	02 novembre 2014	à partir de 4.641 € / mois*	10	Paris 8e (75008), Elysée - Madeleine.	Rue Tronchet. Au coeur du 8ème arrondissement de Paris, à 50 m de la très célèbre place de la Madeleine. Au 3ème étage avec ascenseur d'un immeuble 1880 au charme parisien. Bel appartement de 152 m² (réception + 3...	Madeleine, Havre - Caumartin, Auber	Pièces	5	Chambres	3	Surface	152 m2	Détails","5","3",152,"http://www.pap.fr/annonce/vente-appartements-paris-75-g439-40-annonces-par-page-r402601285","http://static.pap.fr/photos/A26/A26A1285.thumb.jpg",FALSE,"appartement",1495,9.83552631578947,"8","3",TRUE,FALSE,FALSE,FALSE,FALSE,2014-11-02
"10","Vente appartement 4 pièces 80 m² Paris	649.000 €	Paris 16 Auteuil 4 pièces de charme sur jardin arboré	02 novembre 2014	à partir de 2.015 € / mois*	12	Paris 16e (75016), Auteuil-Nord - Jasmin - Mirabeau.	Rez-de-jardin de charme, très calme, dans hôtel particulier 1900 divisé en 4 lots, situé en 2ème rang. 80 m² surface habitable (65,3 m² loi carrez). Village d'Auteuil, jouxtant villa Montmorency. 4...	Michel-Ange - Auteuil, Porte d'Auteuil, Michel-Ange - Molitor	Pièces	4	Chambres	2	Surface	80 m2	Détails","4","2",80,"http://www.pap.fr/annonce/vente-appartements-paris-75-g439-40-annonces-par-page-r402902091","http://static.pap.fr/photos/A29/A29A2091.thumb.jpg",FALSE,"appartement",649,8.1125,"16",NA,FALSE,FALSE,FALSE,FALSE,FALSE,2014-11-02
